Uniprot_protein,Ensembl_gene,Ensembl_transcript,Ensembl_protein,Gene,Chr,Protein_length
P38936,ENSG00000124762.13,ENST00000448526.6,ENSP00000409259.3,CDKN1A,6,164
P04234,ENSG00000167286.9,ENST00000300692.8,ENSP00000300692.4,CD3D,11,171
Q14CN2,ENSG00000016602.9,ENST00000370563.3,ENSP00000359594.3,CLCA4,1,919
Q49MI3,ENSG00000188452.14,ENST00000339098.9,ENSP00000341159.5,CERKL,2,558
Q7Z7A1,ENSG00000119397.16,ENST00000373855.5,ENSP00000362962.1,CNTRL,9,2325
Q8WUR7,ENSG00000169609.14,ENST00000304177.10,ENSP00000307071.6,C15orf40,15,153
Q6UXF7,ENSG00000140839.11,ENST00000339953.9,ENSP00000341051.5,CLEC18B,16,455
C9JDP6,ENSG00000228607.2,ENST00000453129.2,ENSP00000396304.2,CLDN25,11,229
Q7Z7G1,ENSG00000109684.15,ENST00000226951.11,ENSP00000226951.6,CLNK,4,428
Q9Y696,ENSG00000169504.15,ENST00000488683.1,ENSP00000436538.1,CLIC4,1,253
P61923,ENSG00000111481.10,ENST00000262061.7,ENSP00000262061.2,COPZ1,12,177
Q5BKX5,ENSG00000188493.15,ENST00000378313.7,ENSP00000367564.2,C19orf54,19,351
Q4G0I0,ENSG00000174109.5,ENST00000442039.3,ENSP00000413100.2,C16orf91,16,132
Q7Z408,ENSG00000121904.17,ENST00000373388.6,ENSP00000362486.3,CSMD2,1,3487
Q9HCH3,ENSG00000124772.12,ENST00000244751.7,ENSP00000244751.2,CPNE5,6,593
Q9BQW3,ENSG00000088881.20,ENST00000609451.5,ENSP00000477023.1,EBF4,20,602
P11511,ENSG00000137869.15,ENST00000559878.5,ENSP00000453149.1,CYP19A1,15,503
P05093,ENSG00000148795.7,ENST00000369887.4,ENSP00000358903.3,CYP17A1,10,508
Q8WXH0,ENSG00000054654.17,ENST00000344113.8,ENSP00000341781.4,SYNE2,14,6885
Q86VP1,ENSG00000106052.13,ENST00000396319.6,ENSP00000379612.2,TAX1BP1,7,789
Q8IZS6,ENSG00000184786.6,ENST00000366774.4,ENSP00000355736.3,TCTE3,6,198
Q9UI15,ENSG00000144834.14,ENST00000393917.6,ENSP00000377494.2,TAGLN3,3,199
P49848,ENSG00000106290.15,ENST00000344095.8,ENSP00000344537.4,TAF6,7,677
Q92750,ENSG00000141384.12,ENST00000269142.9,ENSP00000269142.5,TAF4B,18,862
P16035,ENSG00000035862.12,ENST00000262768.11,ENSP00000262768.6,TIMP2,17,220
Q9H2L4,ENSG00000135211.6,ENST00000257663.4,ENSP00000257663.3,TMEM60,7,133
Q8NDY8,ENSG00000178821.13,ENST00000310991.8,ENSP00000311122.3,TMEM52,1,209
P37173,ENSG00000163513.19,ENST00000295754.10,ENSP00000295754.5,TGFBR2,3,567
Q8N9M5,ENSG00000284228.2,ENST00000639387.1,ENSP00000491290.1,TMEM102,CHR_HG2046_PATCH,508
P25445,ENSG00000026103.22,ENST00000652046.1,ENSP00000498466.1,FAS,10,335
Q6UXZ0,ENSG00000182271.13,ENST00000328886.5,ENSP00000332404.4,TMIGD1,17,262
P20366,ENSG00000006128.12,ENST00000319273.10,ENSP00000321106.5,TAC1,7,129
Q96I45,ENSG00000244187.8,ENST00000290079.9,ENSP00000290079.8,TMEM141,9,108
Q92545,ENSG00000075568.17,ENST00000186436.10,ENSP00000186436.5,TMEM131,2,1883
Q15399,ENSG00000174125.8,ENST00000308979.7,ENSP00000354932.2,TLR1,4,786
Q9Y6Q6,ENSG00000141655.17,ENST00000586569.3,ENSP00000465500.1,TNFRSF11A,18,616
Q9NPI0,ENSG00000149483.12,ENST00000278826.11,ENSP00000278826.5,TMEM138,11,162
Q8NE00,ENSG00000109066.14,ENST00000582330.2,ENSP00000461922.1,TMEM104,17,496
Q9C040,ENSG00000109654.15,ENST00000437508.6,ENSP00000415812.2,TRIM2,4,744
Q96B21,ENSG00000151715.8,ENST00000524567.1,ENSP00000436293.1,TMEM45B,11,275
A0A0C4DH27,ENSG00000211696.2,ENST00000390343.2,ENSP00000374866.2,TRGV8,7,118
Q8NG06,ENSG00000162722.9,ENST00000366481.4,ENSP00000355437.3,TRIM58,1,486
Q9UKU6,ENSG00000072657.9,ENST00000261180.9,ENSP00000261180.4,TRHDE,12,1024
A0A0B4J263,ENSG00000211818.1,ENST00000390466.1,ENSP00000450865.1,TRAV39,14,110
A0A075B6X5,ENSG00000211798.3,ENST00000390446.3,ENSP00000451574.1,TRAV18,14,111
Q9BRZ2,ENSG00000169871.13,ENST00000306085.11,ENSP00000305161.6,TRIM56,7,755
A0A0K0K1C4,ENSG00000211752.3,ENST00000390399.3,ENSP00000374922.3,TRBV27,7,114
A0A539,ENSG00000211745.3,ENST00000390392.3,ENSP00000374915.3,TRBV4-2,7,114
A0A0A6YYJ7,ENSG00000211787.1,ENST00000390435.1,ENSP00000440087.1,TRAV8-3,14,113
O95881,ENSG00000117862.13,ENST00000371626.9,ENSP00000360688.4,TXNDC12,1,172
A0A576,ENSG00000237702.2,ENST00000390387.3,ENSP00000374910.3,TRBV3-1,7,114
A0A087WT02,ENSG00000211793.2,ENST00000390441.2,ENSP00000452011.1,TRAV9-2,14,112
Q9UKR8,ENSG00000130167.13,ENST00000316737.5,ENSP00000319486.1,TSPAN16,19,245
P62079,ENSG00000168785.8,ENST00000305798.8,ENSP00000307701.3,TSPAN5,4,268
Q8NBP0,ENSG00000143643.13,ENST00000366661.9,ENSP00000355621.4,TTC13,1,860
Q5TGU0,ENSG00000112212.12,ENST00000470917.1,ENSP00000419985.1,TSPO2,6,170
Q01534,ENSG00000258992.7,ENST00000451548.6,ENSP00000403304.1,TSPY1,Y,308
O95801,ENSG00000243725.7,ENST00000371281.4,ENSP00000360329.3,TTC4,1,387
Q8NG11,ENSG00000108219.15,ENST00000372156.5,ENSP00000361229.1,TSPAN14,10,270
P53804,ENSG00000182670.13,ENST00000355666.5,ENSP00000347889.1,TTC3,21,2025
Q8N0Z6,ENSG00000136319.12,ENST00000258821.8,ENSP00000258821.3,TTC5,14,440
Q9BSA4,ENSG00000141540.11,ENST00000269346.9,ENSP00000269346.4,TTYH2,17,534
A1L167,ENSG00000215218.4,ENST00000399816.4,ENSP00000382713.3,UBE2QL1,5,161
Q9Y5T5,ENSG00000156256.15,ENST00000334352.8,ENSP00000334808.4,USP16,21,823
O75631,ENSG00000100373.10,ENST00000216211.9,ENSP00000216211.4,UPK3A,22,287
Q9NRW7,ENSG00000136631.15,ENST00000644510.2,ENSP00000495563.1,VPS45,1,570
Q96A05,ENSG00000250565.7,ENST00000522587.6,ENSP00000428141.1,ATP6V1E2,2,226
P98155,ENSG00000147852.16,ENST00000382100.8,ENSP00000371532.2,VLDLR,9,873
Q16572,ENSG00000187714.7,ENST00000374115.5,ENSP00000363229.3,SLC18A3,10,532
P51809,ENSG00000124333.16,ENST00000286448.12,ENSP00000286448.6,VAMP7,X,220
Q8TAG5,ENSG00000170419.10,ENST00000407838.7,ENSP00000384967.3,VSTM2A,7,236
Q8TBZ3,ENSG00000140153.17,ENST00000342702.7,ENSP00000341037.3,WDR20,14,569
Q15061,ENSG00000163811.12,ENST00000407426.8,ENSP00000384302.3,WDR43,2,677
Q96J92,ENSG00000126562.17,ENST00000246914.10,ENSP00000246914.4,WNK4,17,1243
Q8TEU8,ENSG00000173714.8,ENST00000311378.5,ENSP00000311184.4,WFIKKN2,17,576
Q96NZ8,ENSG00000127578.7,ENST00000319070.3,ENSP00000324763.2,WFIKKN1,16,548
Q9UIE0,ENSG00000159882.13,ENST00000429154.7,ENSP00000409318.1,ZNF230,19,474
Q8TF39,ENSG00000173258.13,ENST00000309235.6,ENSP00000311679.5,ZNF483,9,744
Q9UDW3,ENSG00000100319.13,ENST00000344318.4,ENSP00000344241.3,ZMAT5,22,170
Q9UPR6,ENSG00000105278.11,ENST00000262961.9,ENSP00000262961.3,ZFR2,19,939
Q8TD23,ENSG00000197372.10,ENST00000359788.9,ENSP00000352836.3,ZNF675,19,568
P0CH99,ENSG00000215343.7,ENST00000400078.3,ENSP00000445477.2,ZNF705D,8,300
Q9HC78,ENSG00000181722.16,ENST00000474710.5,ENSP00000419153.1,ZBTB20,3,741
Q86XU0,ENSG00000197928.10,ENST00000333952.8,ENSP00000334394.4,ZNF677,19,584
Q7Z7H8,ENSG00000159111.13,ENST00000351111.7,ENSP00000324100.4,MRPL10,17,261
Q96EP0,ENSG00000285152.2,ENST00000647495.2,ENSP00000496609.1,RNF31,CHR_HG1_PATCH,1072
Q03395,ENSG00000149489.8,ENST00000278833.3,ENSP00000278833.3,ROM1,11,351
Q15050,ENSG00000179041.4,ENST00000320270.4,ENSP00000322396.2,RRS1,8,365
P46782,ENSG00000083845.9,ENST00000196551.8,ENSP00000196551.3,RPS5,19,204
Q9P1V8,ENSG00000100583.4,ENST00000216471.4,ENSP00000216471.4,SAMD15,14,674
Q96FL8,ENSG00000142494.13,ENST00000270570.8,ENSP00000270570.4,SLC47A1,17,570
Q9Y226,ENSG00000172940.13,ENST00000311856.9,ENSP00000310241.3,SLC22A13,3,551
O75159,ENSG00000171150.9,ENST00000394861.3,ENSP00000378330.2,SOCS5,2,536
Q9Y5M8,ENSG00000144867.12,ENST00000466490.7,ENSP00000418401.1,SRPRB,3,271
Q9H4F8,ENSG00000198732.10,ENST00000381280.4,ENSP00000370680.4,SMOC1,14,434
Q9H6Q3,ENSG00000101082.14,ENST00000262866.9,ENSP00000262866.4,SLA2,20,261
P62316,ENSG00000125743.10,ENST00000588301.5,ENSP00000465216.1,SNRPD2,19,118
P14868,ENSG00000115866.11,ENST00000264161.9,ENSP00000264161.4,DARS1,2,501
Q99909,ENSG00000165584.16,ENST00000298396.7,ENSP00000298396.2,SSX3,X,188
Q14849,ENSG00000131748.16,ENST00000336308.10,ENSP00000337446.5,STARD3,17,445
Q9UQF0,ENSG00000242950.7,ENST00000493463.2,ENSP00000419945.1,ERVW-1,7,538
Q93045,ENSG00000104435.13,ENST00000220876.11,ENSP00000220876.6,STMN2,8,179
Q9NQZ5,ENSG00000084090.13,ENST00000337288.9,ENSP00000338030.5,STARD7,2,370
Q15831,ENSG00000118046.16,ENST00000326873.12,ENSP00000324856.6,STK11,19,433
Q9P2F5,ENSG00000173320.12,ENST00000308497.9,ENSP00000311257.4,STOX2,4,926
Q13586,ENSG00000167323.11,ENST00000300737.8,ENSP00000300737.4,STIM1,11,685
Q8WWF3,ENSG00000165120.5,ENST00000297819.4,ENSP00000297819.3,SSMEM1,7,244
P47897,ENSG00000172053.18,ENST00000306125.12,ENSP00000307567.6,QARS1,3,775
A0A1B0GTD5,ENSG00000257987.6,ENST00000548380.6,ENSP00000489652.1,TEX49,12,131
Q9H2B2,ENSG00000132872.12,ENST00000255224.8,ENSP00000255224.2,SYT4,18,425
Q6IPX1,ENSG00000278299.5,ENST00000622206.1,ENSP00000482345.1,TBC1D3C,17,549
Q92526,ENSG00000132141.14,ENST00000314144.10,ENSP00000327191.5,CCT6B,17,530
Q2MV58,ENSG00000204852.16,ENST00000551590.5,ENSP00000448735.1,TCTN1,12,587
Q9Y6M0,ENSG00000282838.2,ENST00000634351.2,ENSP00000489315.1,PRSS21,CHR_HSCHR16_5_CTG1,314
P40227,ENSG00000146731.11,ENST00000275603.9,ENSP00000275603.4,CCT6A,7,531
Q9NZ01,ENSG00000099797.15,ENST00000215567.10,ENSP00000215567.4,TECR,19,308
P40200,ENSG00000153283.13,ENST00000283285.10,ENSP00000283285.5,CD96,3,585
Q9Y577,ENSG00000285344.2,ENST00000645958.1,ENSP00000495842.1,TRIM17,CHR_HG2002_PATCH,477
Q96F44,ENSG00000154370.16,ENST00000284551.11,ENSP00000284551.6,TRIM11,1,468
O94826,ENSG00000154174.8,ENST00000284320.6,ENSP00000284320.5,TOMM70,3,608
Q13641,ENSG00000283085.1,ENST00000634817.1,ENSP00000489447.1,TPBG,CHR_HG2072_PATCH,420
Q9C035,ENSG00000132256.19,ENST00000380034.8,ENSP00000369373.3,TRIM5,11,493
Q7Z4K8,ENSG00000163462.18,ENST00000334634.9,ENSP00000334657.4,TRIM46,1,759
P0CI25,ENSG00000168930.13,ENST00000329758.5,ENSP00000327604.1,TRIM49,11,452
Q9UJT2,ENSG00000126467.11,ENST00000246801.8,ENSP00000246801.2,TSKS,19,592
P62253,ENSG00000132388.12,ENST00000396981.6,ENSP00000380178.2,UBE2G1,17,170
P63313,ENSG00000034510.6,ENST00000233143.6,ENSP00000233143.4,TMSB10,2,44
Q9Y385,ENSG00000198833.7,ENST00000435041.3,ENSP00000451261.1,UBE2J1,6,318
Q8TD43,ENSG00000130529.16,ENST00000252826.10,ENSP00000252826.4,TRPM4,19,1214
A6NGE7,ENSG00000183463.6,ENST00000332715.6,ENSP00000333490.4,URAD,13,173
P54578,ENSG00000101557.15,ENST00000261601.8,ENSP00000261601.6,USP14,18,494
Q14694,ENSG00000103194.15,ENST00000219473.11,ENSP00000219473.7,USP10,16,798
Q9UK80,ENSG00000143258.16,ENST00000368002.8,ENSP00000356981.3,USP21,1,565
P52735,ENSG00000160293.17,ENST00000371850.8,ENSP00000360916.3,VAV2,9,878
Q96JH7,ENSG00000175073.8,ENST00000310421.5,ENSP00000309031.4,VCPIP1,8,1222
O95231,ENSG00000151650.8,ENST00000325980.10,ENSP00000357556.5,VENTX,10,258
Q9Y277,ENSG00000078668.14,ENST00000022615.9,ENSP00000022615.4,VDAC3,8,283
O95183,ENSG00000168899.5,ENST00000306384.5,ENSP00000305647.4,VAMP5,2,116
Q9Y6M5,ENSG00000170385.10,ENST00000367001.5,ENSP00000355968.4,SLC30A1,1,507
O43670,ENSG00000010244.18,ENST00000321233.10,ENSP00000322777.6,ZNF207,17,478
Q14584,ENSG00000174652.19,ENST00000592292.5,ENSP00000467403.1,ZNF266,19,549
Q2VY69,ENSG00000186026.7,ENST00000421176.4,ENSP00000411032.2,ZNF284,19,593
Q9HBT7,ENSG00000141040.15,ENST00000395825.4,ENSP00000379169.3,ZNF287,17,761
Q14586,ENSG00000185947.15,ENST00000300870.15,ENSP00000300870.10,ZNF267,16,743
Q14587,ENSG00000090612.21,ENST00000228289.9,ENSP00000228289.5,ZNF268,12,947
Q96C28,ENSG00000274352.4,ENST00000622212.1,ENSP00000481033.1,ZNF707,CHR_HSCHR8_3_CTG7,371
Q9H5H4,ENSG00000169957.10,ENST00000380412.7,ENSP00000369777.5,ZNF768,16,540
Q9H8G1,ENSG00000118620.13,ENST00000261560.10,ENSP00000261560.4,ZNF430,19,570
P16415,ENSG00000197933.13,ENST00000341191.11,ENSP00000340683.5,ZNF823,19,610
P21506,ENSG00000256223.6,ENST00000426665.6,ENSP00000393814.2,ZNF10,12,573
Q6ZR52,ENSG00000196268.11,ENST00000355504.4,ENSP00000347691.4,ZNF493,19,646
Q03938,ENSG00000213988.11,ENST00000418063.3,ENSP00000410466.2,ZNF90,19,601
Q969W8,ENSG00000186017.14,ENST00000434377.6,ENSP00000415520.2,ZNF566,19,418
Q14202,ENSG00000147130.14,ENST00000314425.9,ENSP00000322845.5,ZMYM3,X,1370
Q9Y330,ENSG00000234852.2,ENST00000458242.2,ENSP00000391563.2,ZBTB12,CHR_HSCHR6_MHC_DBB_CTG1,459
Q19AV6,ENSG00000214941.8,ENST00000472495.5,ENSP00000419138.1,ZSWIM7,17,140
Q9BS31,ENSG00000198093.11,ENST00000354957.8,ENSP00000347043.2,ZNF649,19,505
Q96PE6,ENSG00000141946.1,ENST00000269834.1,ENSP00000269834.1,ZIM3,19,472
Q86UZ6,ENSG00000130584.11,ENST00000395104.5,ENSP00000378536.1,ZBTB46,20,589
Q9UIJ5,ENSG00000104219.13,ENST00000262096.13,ENSP00000262096.8,ZDHHC2,8,367
Q05516,ENSG00000109906.14,ENST00000392996.2,ENSP00000376721.2,ZBTB16,11,673
Q8N141,ENSG00000181007.9,ENST00000392161.4,ENSP00000431265.1,ZFP82,19,532
O95780,ENSG00000197124.12,ENST00000397165.7,ENSP00000380351.1,ZNF682,19,498
Q05519,ENSG00000116754.13,ENST00000370950.7,ENSP00000359988.3,SRSF11,1,484
Q96PX8,ENSG00000178235.7,ENST00000377084.3,ENSP00000366288.2,SLITRK1,13,696
Q92966,ENSG00000164975.15,ENST00000610884.4,ENSP00000483273.1,SNAPC3,9,411
O75494,ENSG00000188529.15,ENST00000492112.3,ENSP00000420195.1,SRSF10,1,262
Q1XH10,ENSG00000180592.17,ENST00000449193.7,ENSP00000410041.2,SKIDA1,10,908
A4D263,ENSG00000164500.6,ENST00000297001.6,ENSP00000297001.6,SPATA48,7,438
Q9UIB8,ENSG00000066294.14,ENST00000311224.8,ENSP00000312367.4,CD84,1,345
Q9NRC6,ENSG00000137877.10,ENST00000320955.8,ENSP00000317790.6,SPTBN5,15,3674
Q5T5J6,ENSG00000116668.13,ENST00000367500.9,ENSP00000356470.4,SWT1,1,900
P46977,ENSG00000134910.14,ENST00000649491.1,ENSP00000497336.1,STT3A,11,705
P60508,ENSG00000244476.3,ENST00000542862.1,ENSP00000444461.1,ERVFRD-1,6,538
Q9UH65,ENSG00000133789.15,ENST00000318950.11,ENSP00000315630.6,SWAP70,11,585
Q8N4C7,ENSG00000178750.3,ENST00000315099.3,ENSP00000320679.2,STX19,3,294
O95793,ENSG00000124214.19,ENST00000371856.6,ENSP00000360922.2,STAU1,20,577
Q8IWZ8,ENSG00000105705.16,ENST00000247001.10,ENSP00000247001.3,SUGP1,19,645
P17600,ENSG00000008056.14,ENST00000295987.13,ENSP00000295987.7,SYN1,X,705
Q9H7C4,ENSG00000162520.15,ENST00000409190.8,ENSP00000386439.3,SYNC,1,482
H3BTG2,ENSG00000227868.6,ENST00000566855.4,ENSP00000457161.1,TEX46,1,121
P59534,ENSG00000236398.2,ENST00000446620.1,ENSP00000405095.1,TAS2R39,7,338
P59536,ENSG00000284982.1,ENST00000646750.1,ENSP00000494656.1,TAS2R41,CHR_HG708_PATCH,307
P59541,ENSG00000262111.3,ENST00000576640.1,ENSP00000458170.1,TAS2R30,CHR_HSCHR12_2_CTG2,319
P50991,ENSG00000115484.15,ENST00000394440.8,ENSP00000377958.3,CCT4,2,539
Q8NB59,ENSG00000143469.19,ENST00000472886.5,ENSP00000418901.1,SYT14,1,555
Q13428,ENSG00000070814.21,ENST00000377797.7,ENSP00000367028.4,TCOF1,5,1488
P04053,ENSG00000107447.8,ENST00000371174.5,ENSP00000360216.2,DNTT,10,509
Q9NVR7,ENSG00000113838.13,ENST00000424280.5,ENSP00000411253.1,TBCCD1,3,557
Q9Y458,ENSG00000277800.3,ENST00000619509.1,ENSP00000479825.1,TBX22,CHR_HSCHRX_2_CTG12,520
O60806,ENSG00000143178.13,ENST00000367821.8,ENSP00000356795.3,TBX19,1,448
A2VDJ0,ENSG00000121210.16,ENST00000409663.7,ENSP00000386574.3,TMEM131L,4,1609
P56279,ENSG00000100721.11,ENST00000402399.6,ENSP00000385036.1,TCL1A,14,114
A0PK00,ENSG00000188735.13,ENST00000449592.7,ENSP00000404991.2,TMEM120B,12,339
Q15560,ENSG00000171703.17,ENST00000343484.10,ENSP00000343515.5,TCEA2,20,299
Q15542,ENSG00000148835.11,ENST00000369839.4,ENSP00000358854.3,TAF5,10,800
Q8WTV1,ENSG00000041988.15,ENST00000054650.8,ENSP00000054650.4,THAP3,1,239
Q8NEW7,ENSG00000181585.6,ENST00000643606.2,ENSP00000494576.1,TMIE,3,156
Q8N614,ENSG00000121895.8,ENST00000381938.4,ENSP00000371364.3,TMEM156,4,296
P31483,ENSG00000116001.16,ENST00000433529.7,ENSP00000401371.2,TIA1,2,386
Q96FV9,ENSG00000079134.12,ENST00000261600.11,ENSP00000261600.6,THOC1,18,657
Q96B77,ENSG00000184857.8,ENST00000333050.7,ENSP00000331640.6,TMEM186,16,213
Q8NFQ8,ENSG00000169905.12,ENST00000609928.5,ENSP00000477486.1,TOR1AIP2,1,470
A6NLX4,ENSG00000185863.7,ENST00000413619.2,ENSP00000456333.1,TMEM210,9,147
Q9GZN2,ENSG00000118707.10,ENST00000611732.4,ENSP00000481787.1,TGIF2,20,237
Q6ICL3,ENSG00000183597.16,ENST00000327374.9,ENSP00000332721.4,TANGO2,22,276
Q86UB9,ENSG00000166575.17,ENST00000305494.6,ENSP00000306344.5,TMEM135,11,458
Q9BTD3,ENSG00000184986.11,ENST00000431372.1,ENSP00000407456.1,TMEM121,14,319
Q12816,ENSG00000067445.21,ENST00000173898.12,ENSP00000173898.7,TRO,X,1431
P40225,ENSG00000090534.20,ENST00000647395.1,ENSP00000494504.1,THPO,3,353
Q2T9J0,ENSG00000156521.14,ENST00000287078.7,ENSP00000287078.6,TYSND1,10,566
A0A0A6YYK7,ENSG00000211799.3,ENST00000390447.3,ENSP00000452148.1,TRAV19,14,116
Q6ZTA4,ENSG00000119283.15,ENST00000366653.5,ENSP00000355613.5,TRIM67,1,783
A0A0B4J262,ENSG00000211795.3,ENST00000390443.3,ENSP00000450505.1,TRAV8-6,14,113
A0A0A6YYG3,ENSG00000253534.1,ENST00000390376.2,ENSP00000374899.2,TRBV6-8,7,113
Q9GZX9,ENSG00000128791.12,ENST00000262120.10,ENSP00000262120.5,TWSG1,18,223
A0A1B0GX31,ENSG00000211727.3,ENST00000390374.3,ENSP00000374897.3,TRBV7-6,7,115
Q9BY14,ENSG00000131126.18,ENST00000598265.1,ENSP00000472769.1,TEX101,19,249
Q9H892,ENSG00000149292.16,ENST00000529221.5,ENSP00000433757.1,TTC12,11,705
Q9BY10,ENSG00000119457.8,ENST00000374228.5,ENSP00000363345.4,SLC46A2,9,475
Q92574,ENSG00000165699.15,ENST00000440111.6,ENSP00000394524.2,TSC1,9,1164
Q9NUW8,ENSG00000042088.14,ENST00000335725.9,ENSP00000337353.4,TDP1,14,608
Q8WUA8,ENSG00000182704.8,ENST00000612930.1,ENSP00000482145.1,TSKU,11,353
Q96A04,ENSG00000163467.11,ENST00000368251.1,ENSP00000357234.1,TSACC,1,125
Q6ZVT0,ENSG00000162571.14,ENST00000379289.6,ENSP00000368591.1,TTLL10,1,673
O75317,ENSG00000152484.14,ENST00000282344.11,ENSP00000282344.6,USP12,13,370
Q5VY80,ENSG00000155918.8,ENST00000286380.2,ENSP00000286380.2,RAET1L,6,246
O75795,ENSG00000197888.2,ENST00000317746.2,ENSP00000320401.2,UGT2B17,4,530
P55916,ENSG00000175564.13,ENST00000314032.9,ENSP00000323740.4,UCP3,11,312
Q9Y6N9,ENSG00000006611.16,ENST00000318024.8,ENSP00000317018.4,USH1C,11,552
Q7Z6J8,ENSG00000118420.17,ENST00000369747.8,ENSP00000358762.3,UBE3D,6,389
Q70EL2,ENSG00000123552.17,ENST00000327681.10,ENSP00000333376.6,USP45,6,814
Q9H832,ENSG00000159202.18,ENST00000360943.10,ENSP00000354201.5,UBE2Z,17,354
Q9H269,ENSG00000215305.10,ENST00000380445.8,ENSP00000369810.3,VPS16,20,839
P62068,ENSG00000109189.13,ENST00000441222.8,ENSP00000407818.2,USP46,4,366
Q70CQ2,ENSG00000115464.15,ENST00000398571.7,ENSP00000381577.2,USP34,2,3546
P15692,ENSG00000112715.23,ENST00000523873.5,ENSP00000430479.1,VEGFA,6,232
Q9BV40,ENSG00000118640.11,ENST00000263864.10,ENSP00000263864.5,VAMP8,2,100
Q6ZMY6,ENSG00000166359.11,ENST00000355868.4,ENSP00000348129.2,WDR88,19,472
O14980,ENSG00000082898.17,ENST00000406957.5,ENSP00000385559.1,XPO1,2,1071
Q8WWM1,ENSG00000171405.12,ENST00000351072.5,ENSP00000342240.1,XAGE5,X,108
Q8WTP9,ENSG00000171402.15,ENST00000346279.4,ENSP00000303061.3,XAGE3,X,111
O43543,ENSG00000196584.3,ENST00000359321.2,ENSP00000352271.1,XRCC2,7,280
Q2M389,ENSG00000136051.14,ENST00000332180.9,ENSP00000328062.5,WASHC4,12,1173
Q9BV38,ENSG00000065268.10,ENST00000585809.5,ENSP00000476117.2,WDR18,19,432
Q7Z5K2,ENSG00000062650.19,ENST00000298767.10,ENSP00000298767.4,WAPL,10,1190
Q9BZH6,ENSG00000120008.16,ENST00000263461.11,ENSP00000263461.5,WDR11,10,1224
P51811,ENSG00000047597.7,ENST00000378616.5,ENSP00000367879.3,XK,X,444
Q9Y484,ENSG00000196998.19,ENST00000634944.1,ENSP00000488972.1,WDR45,X,360
Q7Z7D3,ENSG00000134258.17,ENST00000369458.8,ENSP00000358470.3,VTCN1,1,282
Q8IV63,ENSG00000105053.11,ENST00000594948.5,ENSP00000473171.1,VRK3,19,474
O43264,ENSG00000086827.9,ENST00000200135.8,ENSP00000200135.3,ZW10,11,779
P51815,ENSG00000186376.15,ENST00000370766.8,ENSP00000359802.3,ZNF75D,X,510
Q8IYI8,ENSG00000171295.13,ENST00000304060.10,ENSP00000305373.5,ZNF440,19,595
Q6PK81,ENSG00000152439.13,ENST00000282292.9,ENSP00000282292.3,ZNF773,19,442
Q5JVG8,ENSG00000081665.14,ENST00000443905.6,ENSP00000393835.2,ZNF506,19,444
Q96LW9,ENSG00000235109.7,ENST00000344279.10,ENSP00000345339.6,ZSCAN31,6,406
Q6NSZ9,ENSG00000197037.11,ENST00000334715.7,ENSP00000334800.3,ZSCAN25,7,544
Q7Z3I7,ENSG00000180938.6,ENST00000319286.6,ENSP00000319305.5,ZNF572,8,529
Q8IYN0,ENSG00000274746.4,ENST00000614218.4,ENSP00000483779.1,ZNF100,CHR_HSCHR19_2_CTG2,542
P58317,ENSG00000197961.11,ENST00000320451.6,ENSP00000326967.5,ZNF121,19,390
Q6ZMY9,ENSG00000197363.9,ENST00000359971.3,ENSP00000353058.3,ZNF517,8,492
Q12901,ENSG00000204920.11,ENST00000611002.4,ENSP00000481677.1,ZNF155,19,538
Q8WU90,ENSG00000065548.18,ENST00000337859.11,ENSP00000338788.6,ZC3H15,2,426
O96006,ENSG00000214717.12,ENST00000381223.9,ENSP00000370621.4,ZBED1,X,694
P0DJJ0,ENSG00000171943.12,ENST00000367123.8,ENSP00000478290.1,SRGAP2C,1,459
Q01130,ENSG00000161547.16,ENST00000452355.7,ENSP00000391278.3,SRSF2,17,221
O15269,ENSG00000090054.15,ENST00000262554.7,ENSP00000262554.2,SPTLC1,9,473
Q9UBC9,ENSG00000163209.15,ENST00000331860.7,ENSP00000330391.3,SPRR3,1,169
A1L190,ENSG00000217442.4,ENST00000402753.1,ENSP00000385122.1,SYCE3,22,88
Q9NSD9,ENSG00000116120.11,ENST00000281828.8,ENSP00000281828.6,FARSB,2,589
A0A1B0GTY4,ENSG00000232113.3,ENST00000417563.3,ENSP00000489890.1,TEX50,1,177
Q92752,ENSG00000116147.17,ENST00000263525.6,ENSP00000263525.2,TNR,1,1358
Q8IV01,ENSG00000173227.14,ENST00000527043.6,ENSP00000435316.1,SYT12,11,421
Q9C0D5,ENSG00000115183.15,ENST00000263635.8,ENSP00000263635.6,TANC1,2,1861
P48643,ENSG00000150753.12,ENST00000280326.9,ENSP00000280326.4,CCT5,5,541
Q9NYW6,ENSG00000127362.2,ENST00000247879.2,ENSP00000247879.2,TAS2R3,7,316
Q53R12,ENSG00000168955.4,ENST00000304568.4,ENSP00000303028.3,TM4SF20,2,229
Q96SF7,ENSG00000092607.15,ENST00000369429.5,ENSP00000358437.3,TBX15,1,602
O00268,ENSG00000130699.18,ENST00000252996.8,ENSP00000252996.3,TAF4,20,1085
Q13148,ENSG00000120948.17,ENST00000639083.1,ENSP00000491203.1,TARDBP,1,414
Q96H15,ENSG00000145850.9,ENST00000274532.7,ENSP00000274532.2,TIMD4,5,378
Q96RS0,ENSG00000137574.11,ENST00000260129.6,ENSP00000260129.5,TGS1,8,853
